,facility_name,total_providers,avg_years_experience,total_service_charge,total_insurance_paid
0,Cardiology Specialty Center,441,19.32,276658.83,222139.04
1,City General Hospital,492,19.56,295508.13,236798.5
2,Community Health Clinic,510,20.16,334992.21,269207.92
3,Emergency Medical Center,495,19.67,310735.25,248439.2
4,Northside Urgent Care,489,20.14,297283.06,236839.71
5,Oncology Treatment Center,509,19.38,334927.3,267183.95
6,Pediatric Care Center,531,19.81,361811.04,291790.95
7,Primary Care Clinic,505,20.1,323315.71,260297.44
8,Regional Medical Center,478,20.21,316284.98,251750.43
9,Surgical Specialty Center,550,20.78,349909.18,278503.38
