procedure_code,North,South,West,totals
36415,12130.35,57836.97,48458.05,118425.37
70450,90236.85,375893.2,312204.53,778334.58
70551,52844.83,234817.26,160891.32,448553.41
72040,11463.33,81039.58,56599.39,149102.3
80053,14798.09,83849.78,58540.39,157188.26
85025,8946.57,48989.64,40769.13,98705.34
93000,6743.28,55873.35,45845.38,108462.01
99213,62143.42,327262.66,259242.79,648648.87
99214,71684.08,322532.05,240095.41,634311.54
99283,4001.41,31172.21,24520.39,59694.01
totals,334992.21,1619266.7,1247166.78,3201425.6900000004
